,0,1,2,3,4,5,6,7,8,9
0,1.0,0.002489649072277745,1.0,2.140657477294792e-08,0.0009328621391181134,1.0,1.0,0.3417436201813526,0.017150747587701815,1.0
1,0.002489649072277745,1.0,0.0031087567795455287,0.34263013190978914,1.0,1.0,0.0004623168185237214,1.0,1.0,1.0
2,1.0,0.0031087567795455287,1.0,1.936826184828064e-07,0.0006201162141535301,1.0,1.0,0.08028630818733837,0.005260432729263818,1.0
3,2.140657477294792e-08,0.34263013190978914,1.936826184828064e-07,1.0,1.0,0.0047566130221528054,3.0348070523795994e-08,0.7048769711846247,1.0,0.4645017697509412
4,0.0009328621391181134,1.0,0.0006201162141535301,1.0,1.0,0.63460046369182,9.548571137222145e-05,1.0,1.0,1.0
5,1.0,1.0,1.0,0.0047566130221528054,0.63460046369182,1.0,1.0,1.0,1.0,1.0
6,1.0,0.0004623168185237214,1.0,3.0348070523795994e-08,9.548571137222145e-05,1.0,1.0,0.015306730643810298,0.0009072139758074541,1.0
7,0.3417436201813526,1.0,0.08028630818733837,0.7048769711846247,1.0,1.0,0.015306730643810298,1.0,1.0,1.0
8,0.017150747587701815,1.0,0.005260432729263818,1.0,1.0,1.0,0.0009072139758074541,1.0,1.0,1.0
9,1.0,1.0,1.0,0.4645017697509412,1.0,1.0,1.0,1.0,1.0,1.0
