,0,1,2,3,4,5,6,7,8,9
0,1.0,0.000854794232252045,1.0,1.0,1.0,1.0,1.0,0.8133176859613417,1.0,1.0
1,0.000854794232252045,1.0,0.6427071066370429,0.0003466786187475661,1.0,0.00015874710442752638,0.14661581508552513,1.0,1.0,1.0
2,1.0,0.6427071066370429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,0.0003466786187475661,1.0,1.0,0.6363740635935378,1.0,1.0,0.06365992049451488,1.0,1.0
4,1.0,1.0,1.0,0.6363740635935378,1.0,0.3044370757059289,1.0,1.0,1.0,1.0
5,1.0,0.00015874710442752638,1.0,1.0,0.3044370757059289,1.0,1.0,0.029030865765532803,1.0,1.0
6,1.0,0.14661581508552513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.8133176859613417,1.0,1.0,0.06365992049451488,1.0,0.029030865765532803,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
