issue_key,summary,description,issue_type,status,priority,resolution,created,updated,assignee,reporter,components,labels,comments,parent,clean_text,tokens
YARN-7871,Node attributes reporting from NM to RM ,"Support to initialize proper attribute provider based on user's configuration.
NM collects node attributes from a configured attribute provider and send them to RM via HB. ",Sub-task,Resolved,Major,Fixed,2018-02-01T08:55:40.357+0000,2018-09-12T11:38:42.246+0000,Weiwei Yang,Weiwei Yang,['nodemanager'],[],18,YARN-3409,node attribute report support initialize proper attribute provider base user configuration collect node attribute configure attribute provider send via,"['node', 'attribute', 'report', 'support', 'initialize', 'proper', 'attribute', 'provider', 'base', 'user', 'configuration', 'collect', 'node', 'attribute', 'configure', 'attribute', 'provider', 'send', 'via']"
YARN-7863,Modify placement constraints to support node attributes,This Jira will track to *Modify existing placement constraints to support node attributes.*,Sub-task,Resolved,Major,Fixed,2018-01-31T07:46:46.003+0000,2018-09-12T11:38:52.465+0000,Sunil G,Sunil G,[],[],55,YARN-3409,modify placement constraint support node attribute jira track modify exist placement constraint support node attribute,"['modify', 'placement', 'constraint', 'support', 'node', 'attribute', 'jira', 'track', 'modify', 'exist', 'placement', 'constraint', 'support', 'node', 'attribute']"
YARN-7858,Support special Node Attribute scopes in addition to NODE and RACK,"Currently, we have only two scopes defined: NODE and RACK against which we check the cardinality of the placement.

This idea should be extended to support node-attribute scopes. For eg: Placement of containers across *upgrade domains* and *failure domains*. 
",Sub-task,Resolved,Major,Duplicate,2018-01-30T23:00:12.829+0000,2018-08-30T05:16:17.498+0000,Weiwei Yang,Arun Suresh,[],[],3,YARN-7812,support special node attribute scope addition node rack currently two scope define node rack check cardinality placement idea extend support node attribute scope placement container across upgrade domain failure domain,"['support', 'special', 'node', 'attribute', 'scope', 'addition', 'node', 'rack', 'currently', 'two', 'scope', 'define', 'node', 'rack', 'check', 'cardinality', 'placement', 'idea', 'extend', 'support', 'node', 'attribute', 'scope', 'placement', 'container', 'across', 'upgrade', 'domain', 'failure', 'domain']"
YARN-7856,Validate Node Attributes from NM,"NM needs to do proper validation about the attributes before sending them to RM, this includes
# a valid prefix is presented
# no duplicate entries
# do not allow two attributes with same prefix/name but different types

This could be an utility class that can be used on both RM/NM sides.",Sub-task,Resolved,Major,Fixed,2018-01-30T07:58:27.926+0000,2018-09-12T11:38:40.490+0000,Weiwei Yang,Weiwei Yang,"['nodemanager', 'RM']",[],12,YARN-3409,validate node attribute need proper validation attribute send include valid prefix present duplicate entry allow two attribute prefix name different type could utility class use side,"['validate', 'node', 'attribute', 'need', 'proper', 'validation', 'attribute', 'send', 'include', 'valid', 'prefix', 'present', 'duplicate', 'entry', 'allow', 'two', 'attribute', 'prefix', 'name', 'different', 'type', 'could', 'utility', 'class', 'use', 'side']"
YARN-7854,Attach prefixes to different type of node attributes,"There are multiple types of node attributes depending on which source it comes from, includes
 # Centralized: attributes set by users (admin or normal users)
 # Distributed: attributes collected by a certain attribute provider on each NM
 # System: some built-in attributes in yarn, set by yarn internal components, e.g scheduler

To better manage these attributes, we introduce the prefix (namespace) concept to the an attribute. This Jira is opened to figure out how to attach prefixes (automatically/implicitly or explicitly) to different type of attributes.",Sub-task,Resolved,Major,Later,2018-01-30T06:08:24.318+0000,2018-02-09T01:50:47.092+0000,LiangYe,Weiwei Yang,['RM'],[],0,YARN-3409,attach prefix different type node attribute multiple type node attribute depend source come include centralized attribute set user admin normal user distribute attribute collect certain attribute provider system build attribute yarn set yarn internal component scheduler well manage attribute introduce prefix namespace concept attribute jira open figure attach prefix automatically implicitly explicitly different type attribute,"['attach', 'prefix', 'different', 'type', 'node', 'attribute', 'multiple', 'type', 'node', 'attribute', 'depend', 'source', 'come', 'include', 'centralized', 'attribute', 'set', 'user', 'admin', 'normal', 'user', 'distribute', 'attribute', 'collect', 'certain', 'attribute', 'provider', 'system', 'build', 'attribute', 'yarn', 'set', 'yarn', 'internal', 'component', 'scheduler', 'well', 'manage', 'attribute', 'introduce', 'prefix', 'namespace', 'concept', 'attribute', 'jira', 'open', 'figure', 'attach', 'prefix', 'automatically', 'implicitly', 'explicitly', 'different', 'type', 'attribute']"
YARN-7848,Force removal of docker containers that do not get removed on first try,"After the addition of YARN-5366, containers will get removed after a certain debug delay. However, this is a one-time effort. If the removal fails for whatever reason, the container will persist. We need to add a mechanism for a forced removal of those containers.",Sub-task,Resolved,Major,Fixed,2018-01-29T22:39:48.811+0000,2019-04-15T20:49:50.602+0000,Eric Yang,Eric Badger,[],['Docker'],30,YARN-8472,force removal docker container get remove first try addition yarn container get remove certain debug delay however one time effort removal fail whatever reason container persist need add mechanism forced removal container,"['force', 'removal', 'docker', 'container', 'get', 'remove', 'first', 'try', 'addition', 'yarn', 'container', 'get', 'remove', 'certain', 'debug', 'delay', 'however', 'one', 'time', 'effort', 'removal', 'fail', 'whatever', 'reason', 'container', 'persist', 'need', 'add', 'mechanism', 'forced', 'removal', 'container']"
YARN-7847,Provide permalinks for container logs,"YARN doesn't offer a service similar to AM proxy URL for container logs even if log-aggregation is enabled. The current mechanism of having the NM redirect to yarn.log.server.url fails once the node is down. Workarounds like in MR JobHistory to rewrite URI's on the fly are possible, but do not represent a good long term solution to onboard new apps.",New Feature,Open,Major,,2018-01-29T21:59:30.108+0000,2018-01-29T22:00:58.261+0000,,Gera Shegalov,['amrmproxy'],[],0,,provide permalink container log yarn offer service similar proxy url container log even log aggregation enable current mechanism redirect yarn log server url fail node workaround like jobhistory rewrite uri fly possible represent good long term solution onboard new app,"['provide', 'permalink', 'container', 'log', 'yarn', 'offer', 'service', 'similar', 'proxy', 'url', 'container', 'log', 'even', 'log', 'aggregation', 'enable', 'current', 'mechanism', 'redirect', 'yarn', 'log', 'server', 'url', 'fail', 'node', 'workaround', 'like', 'jobhistory', 'rewrite', 'uri', 'fly', 'possible', 'represent', 'good', 'long', 'term', 'solution', 'onboard', 'new', 'app']"
YARN-7842,PB changes to carry node-attributes in NM heartbeat,PB changes to carry node-attributes in NM heartbeat. Split from a larger patch for easier review.,Sub-task,Resolved,Major,Fixed,2018-01-29T10:06:20.116+0000,2018-09-12T11:38:37.519+0000,Weiwei Yang,Weiwei Yang,[],[],8,YARN-3409,change carry node attribute heartbeat change carry node attribute heartbeat split large patch easy review,"['change', 'carry', 'node', 'attribute', 'heartbeat', 'change', 'carry', 'node', 'attribute', 'heartbeat', 'split', 'large', 'patch', 'easy', 'review']"
YARN-7839,Modify PlacementAlgorithm to Check node capacity before placing request on node,"Currently, the Algorithm assigns a node to a request purely based on if the constraints are met. It is later in the scheduling phase that the Queue capacity and Node capacity are checked. If the request cannot be placed because of unavailable Queue/Node capacity, the request is retried by the Algorithm.

For clusters that are running at high utilization, we can reduce the retries if we perform the Node capacity check in the Algorithm as well. The Queue capacity check and the other user limit checks can still be handled by the scheduler (since queues and other limits are tied to the scheduler, and not scheduler agnostic)",Sub-task,Resolved,Major,Fixed,2018-01-29T06:48:02.001+0000,2018-02-03T00:17:10.991+0000,Panagiotis Garefalakis,Arun Suresh,[],[],12,YARN-7812,modify placementalgorithm check node capacity place request node currently algorithm assign node request purely base constraint meet later scheduling phase queue capacity node capacity check request place unavailable queue node capacity request retry algorithm cluster run high utilization reduce retrie perform node capacity check algorithm well queue capacity check user limit check still handle scheduler since queue limit tie scheduler scheduler agnostic,"['modify', 'placementalgorithm', 'check', 'node', 'capacity', 'place', 'request', 'node', 'currently', 'algorithm', 'assign', 'node', 'request', 'purely', 'base', 'constraint', 'meet', 'later', 'scheduling', 'phase', 'queue', 'capacity', 'node', 'capacity', 'check', 'request', 'place', 'unavailable', 'queue', 'node', 'capacity', 'request', 'retry', 'algorithm', 'cluster', 'run', 'high', 'utilization', 'reduce', 'retrie', 'perform', 'node', 'capacity', 'check', 'algorithm', 'well', 'queue', 'capacity', 'check', 'user', 'limit', 'check', 'still', 'handle', 'scheduler', 'since', 'queue', 'limit', 'tie', 'scheduler', 'scheduler', 'agnostic']"
YARN-7831,YARN Service CLI should use hadoop.http.authentication.type to determine authentication method,"YARN Service CLI uses REST API in resource manager to control YARN cluster.  The authentication type is currently determined by using isSecurityEnabled, but the code should determine security type based on http authentication type.",Bug,Resolved,Major,Fixed,2018-01-26T22:30:18.891+0000,2018-02-03T00:17:16.022+0000,Eric Yang,Eric Yang,[],[],3,,yarn service cli use hadoop determine authentication method yarn service cli use rest api resource manager control yarn cluster authentication type currently determine use issecurityenable code determine security type base http authentication type,"['yarn', 'service', 'cli', 'use', 'hadoop', 'determine', 'authentication', 'method', 'yarn', 'service', 'cli', 'use', 'rest', 'api', 'resource', 'manager', 'control', 'yarn', 'cluster', 'authentication', 'type', 'currently', 'determine', 'use', 'issecurityenable', 'code', 'determine', 'security', 'type', 'base', 'http', 'authentication', 'type']"
