num_topics,coherence_c_v
3,0.23951559269718925
4,0.2667693831607206
5,0.2821009258109818
6,0.26345867775264104
7,0.2742840491829782
8,0.27879897930448805
9,0.26205501950155147
10,0.2658478714475525
