lda_baseline_topic,0,1,2,3,4,5,6,7,8,9
0,7.4375160230877215,-5.315103291742245,-4.850904851924321,-4.32766386888229,-3.3765750613447807,-3.5899192689329453,-4.241254832494619,4.995329512072766,5.547187649369032,4.60709238919939
1,10.358438329098362,-8.271259968106648,8.719850304793452,-3.798930379615516,-4.5051543114554535,-4.372838055731327,-0.7270576989102605,-3.447451173802607,-1.6182197874317252,-1.9723827498318875
2,-17.091956263038668,13.100302305966185,-4.631654319400899,7.673252297553752,7.558245907540049,7.61065650327643,4.465257722774805,-0.8709676258375192,-3.2206246939696244,-2.0340853951816737
