issue_key,bertopic_topic
YARN-7653,0
YARN-7033,-1
YARN-7643,0
YARN-7634,0
YARN-7622,1
YARN-7621,0
YARN-7612,0
YARN-7605,-1
YARN-7599,4
YARN-7583,2
YARN-7540,-1
YARN-7530,6
YARN-7522,0
YARN-7520,0
YARN-7506,2
YARN-7495,0
YARN-7494,0
YARN-7492,-1
YARN-7481,-1
YARN-7473,0
YARN-7469,0
YARN-7468,-1
YARN-7457,0
YARN-7441,-1
YARN-7438,0
YARN-7423,5
YARN-7419,0
YARN-7405,-1
YARN-7399,6
YARN-7384,4
YARN-7376,-1
YARN-7368,-1
YARN-7297,0
YARN-7292,0
YARN-7282,2
YARN-7273,0
YARN-7272,1
YARN-7271,0
YARN-7265,5
YARN-7250,2
YARN-7224,-1
YARN-7218,6
YARN-7217,-1
YARN-7215,6
YARN-7193,6
YARN-7192,-1
YARN-1637,1
YARN-7159,0
YARN-7158,0
YARN-7142,0
YARN-7129,2
YARN-7127,-1
YARN-7117,0
YARN-7109,-1
YARN-7107,0
YARN-7097,3
YARN-7096,3
YARN-7095,3
YARN-7079,0
YARN-7069,0
YARN-7061,-1
YARN-7059,1
YARN-7055,-1
YARN-7054,-1
YARN-7053,-1
YARN-7037,5
YARN-1636,1
YARN-7031,8
YARN-7019,-1
YARN-7018,9
YARN-7017,0
YARN-7016,-1
YARN-7010,3
YARN-7006,-1
YARN-7005,0
YARN-7004,0
YARN-7003,0
YARN-6963,-1
YARN-6960,0
YARN-1635,-1
YARN-6947,0
YARN-6936,1
YARN-6915,-1
YARN-6903,6
YARN-6896,3
YARN-6889,-1
YARN-6877,5
YARN-6876,5
YARN-6875,5
YARN-6858,8
YARN-6857,8
YARN-6855,8
YARN-6848,-1
YARN-6842,0
YARN-6839,5
YARN-6829,0
YARN-6828,0
YARN-1634,-1
YARN-6820,1
YARN-6791,-1
YARN-6789,-1
YARN-6777,-1
YARN-6774,4
YARN-6753,-1
YARN-1633,1
YARN-6734,1
YARN-6733,1
YARN-6724,3
YARN-6573,0
YARN-6704,-1
YARN-6691,4
YARN-6688,0
YARN-6679,0
YARN-6671,-1
YARN-6670,-1
YARN-6669,6
YARN-6636,8
YARN-6634,-1
YARN-6612,0
YARN-6626,-1
YARN-6621,0
YARN-6620,-1
YARN-6601,4
YARN-6599,0
YARN-6596,0
YARN-6592,0
YARN-6586,6
YARN-6569,8
YARN-6567,0
YARN-6527,-1
YARN-6524,-1
YARN-6521,5
YARN-6511,3
YARN-6507,-1
YARN-6484,-1
YARN-6469,0
YARN-6466,-1
YARN-6462,0
YARN-6449,0
YARN-6440,0
YARN-6426,-1
YARN-6407,-1
YARN-6401,-1
YARN-6398,-1
YARN-6396,-1
YARN-6390,6
YARN-6345,-1
YARN-6369,0
YARN-6366,-1
YARN-6364,0
YARN-6358,0
YARN-6357,6
YARN-6355,3
YARN-6347,8
YARN-6320,0
YARN-6314,5
YARN-6306,7
YARN-6282,-1
YARN-6266,0
YARN-6255,6
YARN-6254,-1
YARN-6234,-1
YARN-6224,0
YARN-6223,-1
YARN-6207,0
YARN-6192,-1
YARN-6179,1
YARN-6167,7
YARN-6162,6
YARN-6161,-1
YARN-6160,2
YARN-6137,-1
YARN-6127,-1
YARN-1474,4
YARN-6121,7
YARN-6101,0
YARN-6100,5
YARN-6099,5
YARN-6095,-1
YARN-6080,-1
YARN-6069,1
YARN-6067,-1
YARN-6058,1
YARN-6045,0
YARN-6043,-1
YARN-6040,-1
YARN-6037,4
YARN-6011,-1
YARN-6008,4
YARN-6005,-1
YARN-5990,0
YARN-5984,0
YARN-5983,-1
YARN-5972,0
YARN-5955,-1
YARN-5953,-1
YARN-5952,-1
YARN-5949,-1
YARN-5940,6
YARN-5932,-1
YARN-5910,-1
YARN-5906,-1
YARN-5905,-1
YARN-5900,0
YARN-5889,0
YARN-5887,0
YARN-5886,0
YARN-5883,-1
YARN-5881,0
YARN-5872,3
YARN-5869,0
YARN-5860,0
YARN-5846,0
YARN-5832,0
YARN-5820,4
YARN-2215,0
YARN-5789,-1
YARN-5780,-1
YARN-5769,-1
YARN-5761,0
YARN-5740,-1
YARN-5739,1
YARN-5734,-1
YARN-5732,7
YARN-5727,2
YARN-5724,0
YARN-5718,-1
YARN-5716,0
YARN-5704,2
YARN-5702,-1
YARN-5715,1
YARN-5708,-1
YARN-5699,1
YARN-5692,-1
YARN-5683,-1
YARN-5681,1
YARN-5677,7
YARN-5648,-1
YARN-5673,2
YARN-5668,-1
YARN-5667,1
YARN-5658,-1
YARN-5644,-1
YARN-5638,1
YARN-5637,4
YARN-5606,8
YARN-5636,0
YARN-5634,0
YARN-5629,1
YARN-5627,1
YARN-5626,1
YARN-5605,0
YARN-5619,5
YARN-5618,0
YARN-5612,3
YARN-5611,-1
YARN-5593,0
YARN-5590,-1
YARN-5587,-1
YARN-5585,1
YARN-5556,0
YARN-5547,-1
YARN-5541,0
YARN-5532,-1
YARN-5531,3
YARN-5520,0
YARN-5519,3
YARN-5518,6
YARN-5517,-1
YARN-5516,-1
YARN-5505,2
YARN-5457,-1
YARN-5501,0
YARN-5479,0
YARN-5478,0
YARN-5473,0
YARN-5468,0
YARN-5461,-1
YARN-5452,-1
YARN-5426,2
YARN-5413,3
YARN-5412,3
YARN-5411,3
YARN-5410,3
YARN-5408,-1
YARN-5407,-1
YARN-5406,-1
YARN-5396,5
YARN-5392,-1
YARN-5391,3
YARN-5390,3
YARN-5357,-1
YARN-5387,0
YARN-5386,-1
YARN-5385,-1
YARN-5384,-1
YARN-5366,2
YARN-5355,-1
YARN-5352,2
YARN-5342,0
YARN-5261,0
YARN-5330,-1
YARN-5329,-1
YARN-5328,-1
YARN-5327,0
YARN-5326,0
YARN-5325,3
YARN-5324,3
YARN-5321,0
YARN-5307,3
YARN-5304,-1
YARN-5295,0
YARN-5292,7
YARN-5290,-1
YARN-5281,1
YARN-5280,-1
YARN-5256,8
YARN-5255,0
YARN-5225,0
YARN-5220,0
YARN-5218,-1
YARN-5215,0
YARN-5211,0
YARN-5207,3
YARN-5202,-1
YARN-5177,2
YARN-5175,-1
YARN-5140,-1
YARN-5139,0
YARN-5137,-1
YARN-5113,0
YARN-5086,-1
YARN-5085,-1
YARN-5081,7
YARN-5079,6
YARN-5078,-1
YARN-5076,-1
YARN-5046,0
YARN-5025,0
YARN-5015,-1
YARN-5008,-1
YARN-4993,5
YARN-4985,-1
YARN-4958,-1
YARN-4966,5
YARN-4963,9
YARN-4962,0
YARN-4952,-1
YARN-4950,0
YARN-4948,-1
YARN-4945,0
YARN-4213,-1
YARN-4904,5
YARN-4902,0
YARN-4864,0
YARN-4889,0
YARN-4888,0
YARN-4887,-1
YARN-4879,-1
YARN-4877,4
YARN-4876,-1
YARN-4874,-1
YARN-4873,0
YARN-4870,-1
YARN-4835,-1
YARN-4830,-1
YARN-4822,0
YARN-4793,6
YARN-4781,0
YARN-4777,0
YARN-4773,5
YARN-4766,5
YARN-4758,6
YARN-4757,6
YARN-4742,0
YARN-4752,0
YARN-4737,6
YARN-4730,0
YARN-4726,6
YARN-4725,-1
YARN-4724,0
YARN-4719,0
YARN-4716,1
YARN-4715,-1
YARN-4696,4
YARN-4692,6
YARN-4683,-1
YARN-4676,-1
YARN-4665,-1
YARN-4619,-1
YARN-4611,-1
YARN-4479,0
YARN-4602,-1
YARN-4601,-1
YARN-4600,-1
YARN-4599,-1
YARN-4597,-1
YARN-4595,2
YARN-4591,-1
YARN-4561,-1
YARN-4578,2
YARN-4576,-1
YARN-4559,-1
YARN-4553,2
YARN-4523,8
YARN-4537,0
YARN-4515,4
YARN-4511,0
YARN-3776,0
YARN-4496,1
YARN-4473,4
YARN-4471,4
YARN-4466,4
YARN-4349,-1
YARN-4447,-1
YARN-4443,-1
YARN-4438,-1
YARN-4435,6
YARN-4433,0
YARN-4425,8
YARN-4420,-1
YARN-4417,1
YARN-4412,0
YARN-4405,-1
YARN-4390,0
YARN-4368,1
YARN-4360,0
YARN-4353,-1
YARN-4335,-1
YARN-4333,0
YARN-4276,2
YARN-4275,-1
YARN-4271,-1
YARN-4266,2
YARN-4265,1
YARN-4248,-1
YARN-4245,2
YARN-4234,-1
YARN-4233,1
YARN-4231,8
YARN-4225,0
YARN-4224,-1
YARN-4221,1
YARN-4219,1
YARN-4205,-1
YARN-4199,-1
YARN-4197,8
YARN-4195,8
YARN-4194,8
YARN-4193,8
YARN-4189,0
YARN-4186,-1
YARN-4181,-1
YARN-4176,8
YARN-4166,-1
YARN-4162,-1
YARN-4161,-1
YARN-4132,7
YARN-4129,1
YARN-4125,0
YARN-4117,4
YARN-4108,0
YARN-4097,1
YARN-4094,6
YARN-4093,9
YARN-4091,-1
YARN-4088,9
YARN-4080,0
YARN-4077,0
YARN-4075,-1
YARN-4074,1
YARN-4070,-1
YARN-4062,-1
YARN-4061,1
YARN-4059,0
YARN-4056,-1
YARN-4041,-1
YARN-4039,0
YARN-4024,-1
YARN-4023,1
YARN-4014,-1
YARN-4012,-1
YARN-4007,2
YARN-3998,7
YARN-3997,0
YARN-3983,0
YARN-3981,1
YARN-3980,-1
YARN-3955,0
YARN-3970,-1
YARN-3969,0
YARN-3964,-1
YARN-3698,5
YARN-3935,-1
YARN-3942,1
YARN-3929,5
YARN-3928,-1
YARN-3927,-1
YARN-3926,0
YARN-3923,9
YARN-3922,9
YARN-3920,0
YARN-3914,1
YARN-3904,-1
YARN-3901,1
YARN-3895,-1
YARN-3887,0
YARN-3870,-1
YARN-3867,-1
YARN-3866,-1
YARN-3864,1
YARN-3863,1
YARN-3851,2
YARN-3822,1
YARN-3818,-1
YARN-3817,-1
YARN-3816,-1
YARN-3815,-1
YARN-3808,0
YARN-3807,0
YARN-3806,0
YARN-3773,2
YARN-3772,-1
YARN-3739,0
YARN-3736,-1
YARN-3719,-1
YARN-3718,2
YARN-3692,-1
YARN-3691,0
YARN-3684,0
YARN-3680,0
YARN-3623,1
YARN-3673,3
YARN-3672,3
YARN-3671,3
YARN-3666,3
YARN-3665,3
YARN-3664,3
YARN-3663,-1
YARN-3662,3
YARN-3661,3
YARN-3660,3
YARN-3659,3
YARN-3656,0
YARN-3637,2
YARN-3636,-1
YARN-3632,0
YARN-3622,-1
YARN-3616,1
YARN-3611,2
YARN-3595,0
YARN-3588,1
YARN-3557,-1
YARN-3542,0
YARN-3534,0
YARN-3510,0
YARN-3508,-1
YARN-3500,0
YARN-3499,0
YARN-3490,-1
YARN-3488,-1
YARN-3482,9
YARN-3481,9
YARN-3474,7
YARN-3448,-1
YARN-3445,-1
YARN-3443,0
YARN-3440,0
YARN-3418,-1
YARN-3417,-1
YARN-3411,1
YARN-3402,6
YARN-3401,-1
YARN-3391,1
YARN-3378,-1
YARN-3374,-1
YARN-3373,-1
YARN-3372,-1
YARN-3368,-1
YARN-3366,-1
YARN-3365,2
YARN-3361,8
YARN-3354,8
YARN-3345,8
YARN-3332,0
YARN-3319,0
