issue_key,bertopic_topic
YARN-11095,0
YARN-11096,-1
YARN-11092,4
YARN-11084,8
YARN-11087,8
YARN-11110,-1
YARN-11199,-1
YARN-11276,-1
YARN-11188,5
YARN-11252,3
YARN-11122,-1
YARN-11126,-1
YARN-11134,8
YARN-11140,8
YARN-11152,0
YARN-11327,3
YARN-11331,-1
YARN-11332,0
YARN-11411,0
YARN-11412,0
YARN-11333,3
YARN-11335,-1
YARN-11340,0
YARN-11300,0
YARN-11423,3
YARN-11425,3
YARN-11309,-1
YARN-11315,3
YARN-11345,3
YARN-11391,-1
YARN-11303,-1
YARN-11351,3
YARN-11352,0
YARN-11354,3
YARN-11355,4
YARN-11356,-1
YARN-11358,3
YARN-11401,-1
YARN-11361,-1
YARN-11448,-1
YARN-11440,0
