lda_baseline_topic,False,True
0,2.227912473753021,-2.227912473753017
1,2.479571019452581,-2.479571019452577
2,-0.798175777395579,0.798175777395575
3,-0.27738337056677426,0.27738337056677476
4,-2.5748207458477186,2.5748207458477226
